Window Size,500 Median,500 Min,500 Max,2500 Median,2500 Min,2500 Max
1,0.0,0.0,0.5,0.0,0.0,0.5
5,0.3333333333333333,0.0,0.8,0.375,0.0769230769230769,0.8333333333333334
10,0.375,0.0,0.8,0.4142156862745098,0.08,0.7272727272727273
15,0.4,0.1666666666666666,0.8,0.4422222222222222,0.1944444444444444,0.72
20,0.418859649122807,0.15,0.7142857142857143,0.4450681635926223,0.2777777777777778,0.72
25,0.4382621951219512,0.1904761904761904,0.7142857142857143,0.46064814814814814,0.2807017543859649,0.6774193548387096
30,0.48,0.2272727272727272,0.7142857142857143,0.4772256728778468,0.24,0.65
35,0.5,0.2916666666666667,0.6842105263157895,0.48234316576651437,0.2786885245901639,0.625
40,0.5,0.3076923076923077,0.6701030927835051,0.4869932432432432,0.3064516129032258,0.6307692307692307
45,0.5178799489144317,0.34,0.6978723404255319,0.5,0.3458646616541353,0.6486486486486487
50,0.5341085271317829,0.3548387096774194,0.7824561403508772,0.5021739130434782,0.375886524822695,0.7011033099297894
55,0.5407620735489589,0.3617021276595745,0.8181818181818182,0.5125776397515528,0.3741935483870968,0.7374005305039788
60,0.543560606060606,0.3859649122807017,0.8231511254019293,0.520920868347339,0.4184782608695652,0.7493627867459643
65,0.5555555555555556,0.392156862745098,0.851963746223565,0.5226256604796098,0.425531914893617,0.7786318216756342
70,0.5604754440961337,0.4038461538461538,0.8567251461988304,0.5256578947368421,0.419047619047619,0.7991360691144709
75,0.5645161290322581,0.4415584415584415,0.8649425287356322,0.5353034224906529,0.4153225806451613,0.81419624217119
80,0.5729483282674772,0.4625,0.8757062146892656,0.5352368220015279,0.4367816091954023,0.8323272971160295
85,0.5827625570776256,0.4625,0.888268156424581,0.54562423500612,0.4697508896797153,0.8403973509933775
90,0.5924501424501425,0.4756097560975609,0.9070904645476772,0.5553108174253549,0.4755700325732899,0.8730964467005076
95,0.6013698630136985,0.4931506849315068,0.9075425790754258,0.5600925925925926,0.4841772151898734,0.8763231197771588
100,0.6128998968008257,0.5,0.9075425790754258,0.5651086956521738,0.4960629921259842,0.8802660753880266
105,0.6154480937448423,0.5,0.9075425790754258,0.5785788699595538,0.5035714285714286,0.88257993384785
110,0.6196231781016708,0.5263157894736842,0.9075425790754258,0.5825576912485543,0.5102564102564102,0.8829670329670329
115,0.6242647058823529,0.53125,0.908433734939759,0.5798888661155519,0.5175,0.8827699018538713
120,0.6256868131868132,0.5402298850574713,0.9138755980861244,0.5857864357864357,0.5180722891566265,0.8851570964247021
125,0.6321122618590973,0.550561797752809,0.9166666666666666,0.5891560361873764,0.5277777777777778,0.8864864864864865
130,0.6368631368631368,0.5543478260869565,0.9221698113207548,0.5970835138921082,0.5348837209302325,0.8909673971138429
135,0.6499180431219267,0.5638297872340425,0.9221698113207548,0.6053368100825728,0.5353159851301115,0.8909673971138429
140,0.650555041628122,0.5474452554744526,0.9221698113207548,0.6029775187650996,0.5364963503649635,0.8924960085151676
145,0.6566732002851033,0.5612244897959183,0.9221698113207548,0.6078040540540541,0.5172413793103449,0.8943175783324482
150,0.6612903225806451,0.5673076923076923,0.9297423887587822,0.6125394923194247,0.5247524752475248,0.8966963817514421
155,0.6683226758484997,0.5673076923076923,0.9276018099547512,0.6182309335343636,0.5339805825242718,0.9010050251256282
160,0.6743496515604035,0.5794392523364486,0.9705882352941176,0.6222426470588236,0.5515151515151515,0.9385847797062752
165,0.6780841799709725,0.5816993464052288,0.975103734439834,0.6261363636363637,0.5465116279069767,0.9516616314199396
170,0.6800745412844037,0.5886524822695035,0.981443298969072,0.6286350859898491,0.5511363636363636,0.9619771863117872
175,0.6859228362877998,0.6,0.9877300613496932,0.6317573324048213,0.554016620498615,0.969430485762144
180,0.6915485829959513,0.6,0.9877300613496932,0.6343398509473916,0.5567282321899736,0.9703053115851108
185,0.6949472918938568,0.6021505376344086,0.9877300613496932,0.635674561833558,0.5613577023498695,0.9703177257525084
190,0.6992481203007519,0.6015625,0.9877551020408164,0.6394278267979423,0.5645569620253165,0.9726141078838174
195,0.7015265436318068,0.6046511627906976,0.9877551020408164,0.6434661001947247,0.5615763546798029,0.9734879867439934
200,0.7080725405231905,0.6015037593984962,0.9877551020408164,0.6459193077462606,0.5721153846153846,0.9734989648033128
